id,life,dis,money,sex,age
7,6,3,7,2,5
8,7,2,5,1,2
11,5,2,4,2,4
16,5,2,6,2,4
23,3,3,3,1,4
28,8,3,3,1,1
33,3,3,5,1,4
35,3,2,2,2,3
69,4,2,2,2,2
70,6,2,4,1,4
71,7,2,5,2,2
75,2,1,2,2,4
87,1,1,1,1,4
104,1,2,4,2,3
112,7,2,4,2,3
117,6,2,5,2,4
124,2,4,0,1,4
133,5,3,5,1,4
149,5,3,5,2,3
150,5,3,6,2,3
151,6,3,5,2,3
155,4,2,5,2,4
164,5,3,7,2,2
168,7,2,7,2,4
174,8,3,5,2,4
175,7,2,6,1,3
179,5,3,6,2,2
188,2,1,3,2,3
192,5,2,3,1,4
194,5,3,4,2,4
210,2,1,0,1,3
215,5,3,5,1,3
226,7,1,7,2,3
231,7,3,5,2,2
233,6,3,5,2,4
236,6,4,4,1,5
243,3,4,3,1,4
250,5,1,2,2,4
258,7,2,6,2,3
273,7,2,5,2,3
281,5,2,5,1,3
284,4,3,2,1,2
287,5,2,2,1,4
295,4,2,3,2,3
302,3,1,2,2,3
309,5,3,5,2,4
315,5,2,8,2,4
323,5,3,4,1,5
327,5,2,5,2,4
334,6,3,5,1,2
340,5,3,5,2,1
348,3,3,3,1,4
354,0,2,0,1,1
357,6,2,4,1,3
366,6,2,5,2,1
368,7,3,5,2,3
378,5,2,5,2,2
381,8,3,7,1,2
394,7,3,7,1,2
403,6,3,5,2,3
406,4,3,2,2,3
407,3,3,4,2,2
465,8,2,3,1,2
480,7,3,5,2,3
496,7,3,4,1,1
502,5,2,5,2,1
511,5,3,0,1,1
521,5,2,5,2,2
530,5,2,2,2,2
534,7,2,3,2,2
535,5,2,7,1,3
558,8,3,5,1,2
575,5,2,5,2,3
579,3,2,4,1,4
592,9,3,5,1,2
605,9,3,5,2,1
611,5,3,2,2,5
614,5,2,3,1,1
617,5,3,7,1,2
618,10,3,6,2,3
624,5,2,0,1,1
648,1,2,2,1,5
657,3,3,5,2,2
661,3,2,1,2,3
668,8,3,5,2,1
686,5,3,1,2,3
694,5,2,5,2,4
701,3,2,3,2,2
702,5,2,2,2,4
710,6,3,6,2,4
722,7,1,7,2,4
729,5,1,1,2,3
739,7,2,5,2,4
758,8,2,2,2,1
762,2,2,7,1,5
763,2,2,3,1,4
764,3,1,2,2,2
782,5,1,5,2,5
795,5,3,3,2,2
809,2,2,6,2,2
811,2,2,3,1,4
817,5,2,6,1,2
819,6,2,2,2,5
820,5,2,4,2,3
825,8,2,8,2,2
837,7,1,6,2,3
846,7,2,3,2,5
878,3,1,3,2,4
879,3,1,3,2,2
881,3,2,3,1,3
885,3,1,3,2,4
893,7,2,5,2,5
895,8,1,5,2,2
904,3,2,3,2,5
913,3,1,3,1,4
929,3,1,2,1,3
931,8,3,4,2,5
933,5,2,4,2,4
935,5,3,3,1,4
948,7,2,5,2,4
954,2,2,2,1,4
960,5,3,2,1,4
966,7,2,5,1,1
969,4,1,5,2,3
972,3,3,1,1,4
989,6,3,0,2,1
996,8,4,4,1,5
999,10,3,3,2,4
1001,3,2,4,1,1
1004,5,3,5,2,4
1005,7,3,6,1,4
1009,10,3,5,2,4
1024,5,3,1,2,3
1029,8,1,3,1,3
1034,3,2,3,1,1
1039,7,3,7,1,4
1041,8,3,2,2,1
1051,3,2,5,2,5
1058,8,2,6,2,5
1066,5,3,8,2,1
1071,5,2,5,2,5
1093,1,2,5,1,3
1095,5,3,3,2,4
1103,5,2,3,1,3
1114,5,2,6,2,2
1121,4,1,5,1,1
1123,2,2,4,2,1
1143,6,2,5,1,1
1149,8,1,4,1,4
1156,7,2,3,1,2
1158,8,4,7,2,1
1163,8,3,5,1,2
1170,0,1,0,1,1
1177,3,3,3,1,5
1181,5,3,0,1,2
1187,7,3,1,2,5
1188,5,3,1,1,2
1201,7,3,2,2,1
1203,5,3,2,2,3
1206,7,2,2,1,2
1210,7,2,2,1,2
1215,6,2,2,2,2
1219,7,3,4,1,2
1225,7,3,4,2,4
1238,6,3,5,2,5
1245,1,3,5,2,1
1246,9,3,5,2,4
1250,5,3,7,2,1
1253,7,2,5,2,2
1254,10,3,5,2,4
1259,2,2,3,2,3
1265,8,3,7,1,4
1273,8,3,7,1,5
1276,0,3,2,2,1
1347,6,3,7,1,1
1351,2,2,2,1,4
1353,8,3,7,2,4
1366,5,3,5,2,4
1369,7,2,8,1,3
1387,7,3,5,2,3
1391,4,2,5,1,3
1394,8,2,6,2,3
1406,6,3,5,1,5
1416,5,3,5,2,3
1420,3,3,4,2,5
1421,5,3,7,1,3
1422,5,3,3,2,4
1426,2,2,2,1,3
1427,5,3,5,2,2
1430,5,2,0,2,3
1434,5,1,2,2,2
1436,5,3,3,1,3
1445,5,3,3,2,4
1449,5,2,4,1,2
1451,7,2,7,1,2
1453,9,1,10,1,1
1461,3,2,5,1,4
1477,3,3,5,2,5
1481,5,3,2,1,2
1493,5,3,4,2,3
1498,5,3,5,2,3
1501,6,2,0,1,2
1510,8,4,4,1,1
1511,6,2,4,1,1
1514,7,3,5,1,3
1527,5,3,5,2,1
1536,7,2,5,1,5
1542,1,3,1,2,1
1544,3,4,5,1,4
1547,4,2,1,1,4
1549,7,2,3,1,2
1552,3,2,1,2,4
1556,9,2,5,1,2
1558,1,1,0,1,2
1566,5,2,2,1,1
1578,6,2,5,1,3
1581,5,2,4,1,4
1588,5,2,3,1,2
1594,10,3,7,1,2
1611,7,2,5,1,3
1614,5,3,3,1,2
1616,7,3,8,1,4
1618,6,3,6,2,3
1624,7,3,5,2,3
1631,4,2,5,2,1
1644,5,3,5,1,3
1651,5,3,5,1,2
1654,5,3,5,1,5
1677,5,2,5,1,3
1683,5,3,5,2,3
1694,3,3,5,2,3
1699,7,2,7,2,4
1704,8,3,5,1,2
1713,5,3,3,1,4
1724,6,3,4,2,2
1725,6,2,6,2,3
1733,5,3,4,2,2
1749,6,2,5,2,3
1753,4,3,6,2,2
1763,6,3,6,2,3
1775,2,2,5,2,4
1783,9,2,5,2,5
1785,5,2,5,2,2
1787,6,3,6,1,3
1793,8,2,5,2,5
1805,10,2,5,2,3
1808,6,3,4,2,3
1811,6,3,6,2,4
1822,0,3,0,2,5
1827,5,2,6,2,2
1835,5,3,6,2,2
1844,7,3,7,1,3
1852,7,2,5,1,2
1871,5,3,5,2,3
1878,7,3,5,2,2
1885,7,2,1,1,3
1896,6,2,6,2,2
1900,8,2,8,2,2
1910,7,2,3,2,2
1911,5,2,5,1,3
1917,4,2,3,1,3
1922,2,1,6,1,2
1930,6,2,4,2,4
1934,1,2,2,1,4
1941,2,1,0,2,2
1945,5,3,4,1,3
1949,7,3,7,1,1
1957,5,2,2,1,5
1960,6,3,4,2,3
1962,6,2,5,2,3
1965,5,2,2,1,5
1969,5,3,5,2,3
1972,5,3,4,2,2
1975,6,2,4,2,2
1980,6,3,5,1,5
2010,5,3,4,1,5
2018,6,3,4,2,5
2022,5,3,3,1,2
2024,3,2,2,2,1
2025,6,4,3,1,1
2027,5,3,4,2,2
2028,5,3,4,1,1
2034,6,3,5,2,3
2045,7,2,5,1,3
2046,6,3,6,2,5
2062,6,2,7,2,2
2065,6,2,4,1,3
2068,6,3,5,2,4
2076,6,2,6,1,4
2085,6,3,5,1,4
2086,5,3,4,2,3
2090,6,3,5,1,2
2091,5,3,3,2,2
2096,6,2,5,2,2
2125,5,2,4,2,2
2126,7,3,4,2,2
2131,6,3,5,2,2
2134,7,3,4,1,2
2140,4,3,2,1,1
2151,5,3,5,1,3
2157,5,3,4,1,3
2160,6,3,4,1,4
2168,5,3,5,2,3
2172,4,3,4,2,2
2175,1,3,4,2,1
2177,7,3,6,1,3
2180,5,3,6,2,4
2191,7,3,6,2,3
2192,7,3,6,2,5
2194,7,3,6,2,3
2203,8,3,5,1,4
2210,8,2,7,2,2
2238,10,3,5,2,3
2257,5,2,5,2,3
2276,7,3,7,2,3
2282,7,2,6,1,3
2288,4,3,6,2,5
2294,5,3,5,2,4
2295,5,3,5,1,4
2298,5,2,1,2,1
2305,5,3,2,2,5
2307,9,3,6,1,4
2312,8,3,3,2,5
2314,8,2,5,2,1
2326,10,3,4,2,2
2335,5,2,3,2,4
2337,8,3,3,2,4
2342,5,3,5,2,5
2344,5,2,2,2,3
2365,7,2,7,2,1
2378,4,2,0,1,5
2391,6,3,3,2,4
2426,6,3,6,2,1
2453,4,3,0,1,2
2465,6,3,4,1,2
2476,8,3,7,2,4
2504,6,2,5,1,3
2509,8,3,8,2,3
2513,8,3,7,1,1
2515,4,3,7,1,3
2516,5,3,6,1,4
2521,9,2,9,1,4
2524,5,2,8,1,3
2527,7,3,7,1,5
2528,7,2,5,1,1
2555,7,3,5,2,3
2556,5,3,5,2,4
2565,6,3,5,2,3
2579,6,3,7,2,3
2582,6,3,5,2,4
2588,6,3,7,2,1
2591,7,3,3,2,4
2602,7,3,5,2,4
2605,4,3,5,2,1
2619,8,2,7,1,5
2621,5,2,1,2,3
2624,5,2,2,1,3
2627,7,3,3,1,1
2633,7,2,7,2,2
2641,5,2,4,2,3
2681,4,2,3,2,2
2683,7,2,5,2,1
2684,5,3,2,1,3
2688,7,3,5,1,3
2694,3,2,3,1,3
2695,6,3,6,2,1
2701,4,3,3,2,4
2705,4,2,3,1,5
2708,5,2,1,2,2
2716,0,2,5,2,3
2745,7,3,5,2,2
2754,4,2,5,2,5
2756,3,2,3,1,3
2761,5,3,3,1,1
2763,5,3,4,2,4
2777,6,3,4,1,5
2779,6,3,5,2,3
2780,5,2,5,2,3
2781,9,3,5,2,5
2783,7,2,4,1,3
2785,8,2,2,2,3
2786,8,3,4,1,4
2791,5,2,2,2,3
2797,5,2,2,2,3
2818,5,2,4,1,4
2819,5,2,4,1,2
2820,8,3,3,1,2
2821,7,2,4,2,3
2824,5,3,3,1,2
2841,4,2,2,2,2
2847,5,2,1,1,3
2849,6,2,3,2,4
2851,5,3,2,2,5
2853,6,3,2,2,5
2863,4,2,3,2,1
2866,5,2,2,1,1
2868,5,2,3,1,4
2885,6,3,2,2,5
2890,4,3,1,1,4
2907,8,3,4,1,4
2916,6,2,3,1,1
2940,9,3,6,1,4
2941,7,3,0,2,5
2942,7,3,5,1,5
2943,5,2,4,1,5
2944,8,3,5,2,2
2947,6,3,4,1,5
2949,5,2,5,2,5
2987,5,3,3,2,1
2992,8,3,5,2,5
2997,8,2,4,1,2
2998,8,3,4,2,4
2999,9,2,5,2,3
3001,5,2,5,2,4
3002,5,2,4,1,2
3005,7,2,5,2,2
3010,5,2,4,2,5
3014,8,2,4,2,1
3031,0,2,0,2,1
3037,7,2,5,2,1
3045,7,1,0,2,4
3049,6,2,6,2,1
3072,7,2,1,1,4
3073,3,3,1,2,5
3081,5,3,1,2,5
3082,3,3,1,1,5
3085,5,2,2,1,5
3087,7,3,3,2,4
3089,5,2,4,1,5
3091,5,3,4,2,4
3114,8,3,5,2,4
3123,5,3,5,1,4
3141,5,3,3,2,5
3146,5,3,4,2,5
3147,5,3,4,2,3
3154,7,3,3,2,3
3165,7,3,3,2,3
3167,6,3,5,2,2
3170,6,2,4,2,4
3173,7,2,3,2,2
3179,6,3,5,2,3
3197,7,1,5,2,1
3198,7,3,2,2,3
3209,8,3,4,1,4
3210,7,3,5,2,1
3217,7,1,3,2,2
3219,6,2,4,1,3
3225,6,2,4,1,2
3231,7,2,2,2,2
3233,7,1,3,2,3
3237,6,2,2,2,2
3242,6,2,2,2,3
3247,7,2,4,2,4
3255,5,2,2,2,3
3259,7,2,3,2,3
3262,5,3,3,1,3
3267,7,3,6,1,4
3277,8,3,7,1,5
3284,5,2,5,2,3
3291,3,2,4,2,3
3305,3,2,2,1,1
3312,4,2,3,1,2
3318,9,3,2,2,3
3319,7,2,3,2,3
3320,10,2,5,2,3
3334,5,2,4,2,3
3336,7,3,6,2,1
3338,5,2,4,1,2
3340,4,2,4,2,3
3341,4,3,4,1,4
3345,4,3,4,1,3
3346,4,3,6,1,4
3355,6,2,7,2,4
3356,4,2,4,1,2
3360,6,3,6,2,4
3394,7,3,7,2,2
3395,7,3,7,1,4
3402,6,2,5,2,3
3418,7,3,6,2,3
3423,6,2,6,2,4
3424,5,2,4,2,3
3427,7,3,7,2,5
3439,5,2,5,2,1
3448,3,2,0,2,2
3458,4,2,6,1,3
3459,8,1,4,2,4
3467,5,2,5,2,1
3470,6,2,5,2,4
3478,8,1,6,2,3
3483,5,3,2,1,1
3486,5,2,7,1,1
3554,7,2,2,2,1
3563,4,2,5,2,3
3568,7,2,6,1,3
3579,5,2,0,1,4
3581,3,2,5,1,2
3585,3,2,3,2,1
3590,3,2,2,2,4
3595,7,2,7,2,1
3602,5,2,3,1,5
3604,7,1,5,2,3
3667,7,2,7,2,2
3674,5,2,5,2,3
3675,5,1,5,2,2
3678,3,2,5,1,2
3682,5,2,5,1,5
3685,8,3,5,2,2
3687,5,1,7,1,4
3712,5,3,4,1,4
3721,0,4,1,2,4
3726,5,1,2,1,2
3728,6,2,3,2,4
3729,4,2,5,2,1
3740,8,3,7,2,2
3744,3,2,4,2,1
3745,4,1,3,2,3
3757,7,3,5,2,4
3765,0,2,1,1,2
3766,5,3,3,2,4
3768,8,1,5,2,3
3769,8,2,8,2,1
3774,10,2,9,1,2
3787,6,2,3,1,5
3795,5,3,5,1,3
3796,9,3,6,2,3
3814,4,1,3,1,3
3829,6,2,5,2,4
3831,5,2,6,2,5
3838,8,3,6,1,2
3852,5,4,7,2,4
3855,5,3,7,1,2
3871,5,3,5,2,2
3888,7,2,5,2,1
3891,5,3,6,1,3
3896,6,2,4,1,5
3905,2,2,2,1,5
3922,1,3,2,1,4
3927,7,2,7,2,5
3929,8,3,6,2,3
3948,5,1,1,1,4
3954,8,3,4,2,5
3963,7,3,5,1,1
4027,5,2,4,2,4
4033,5,2,4,1,5
4038,5,2,3,1,4
4050,3,2,2,1,2
4067,5,2,5,2,4
4069,5,2,4,2,3
4072,2,3,3,1,5
4078,5,2,5,2,5
4085,5,2,5,1,3
4095,7,1,4,2,1
4101,8,1,6,2,3
4109,8,3,7,2,3
4118,7,1,7,1,2
4124,7,2,8,1,2
4133,8,2,6,1,3
4138,9,2,5,1,1
4145,8,2,5,2,1
4155,1,2,5,2,2
4160,7,3,5,2,1
4166,7,1,6,2,1
4174,8,2,5,2,1
4181,6,2,4,1,5
4191,6,2,8,2,2
4199,8,3,7,2,3
4214,8,3,7,2,5
4222,8,2,6,2,4
4230,7,2,6,1,3
4239,8,2,7,2,3
4247,5,2,1,2,2
4253,5,3,4,1,3
4265,5,3,0,1,5
4271,5,3,0,2,2
4281,5,2,4,2,2
4288,5,3,4,2,3
4289,5,2,0,2,5
4293,8,1,5,2,4
4301,5,3,2,2,3
4304,4,2,3,1,2
4337,5,3,5,2,5
4340,6,3,5,1,1
4344,7,3,7,2,3
4346,3,2,5,1,5
4353,5,3,5,1,5
4356,5,3,5,1,5
4358,5,2,3,1,4
4360,5,3,4,2,5
4363,5,1,5,2,2
4372,4,2,4,2,5
4378,7,2,6,1,1
4384,8,2,7,2,5
4389,8,2,6,2,4
4393,8,2,4,2,4
4396,5,2,5,2,3
4401,5,2,5,1,4
4408,3,1,3,2,5
4413,8,3,4,2,4
4422,10,1,5,1,2
4423,2,2,2,2,4
4430,6,3,1,1,4
4435,7,2,5,2,4
4440,5,2,1,1,4
4445,5,2,5,2,5
4450,5,2,5,2,5
4452,5,3,5,2,4
4454,6,2,5,2,1
4460,5,2,4,2,1
4465,8,2,5,1,5
4470,6,3,4,2,5
4475,6,2,5,1,2
4480,6,3,3,1,5
4482,7,2,6,1,4
4491,7,2,2,2,4
4495,3,2,3,2,4
4501,7,1,4,2,3
4510,8,1,6,1,5
4512,3,2,4,1,5
4519,5,3,1,2,4
4531,7,2,7,2,1
4532,7,3,7,1,5
4533,7,2,7,1,3
4538,7,2,6,2,4
4543,8,3,5,2,3
4548,8,3,6,1,3
4556,8,3,6,1,3
4562,8,2,4,1,3
4572,2,3,1,1,5
4577,5,3,5,1,1
4583,5,2,4,2,5
4593,3,2,3,1,4
4608,2,2,1,1,4
4613,3,3,3,1,5
4619,8,3,4,2,2
4634,5,3,3,2,5
4638,8,3,7,1,1
4645,5,2,2,2,2
4653,8,2,5,2,2
4658,5,2,5,2,4
4665,5,2,1,2,5
4671,3,1,0,1,1
4679,4,2,3,1,4
4686,10,2,6,1,3
4689,5,3,5,1,2
4697,7,2,5,2,5
4704,5,2,3,2,2
4706,6,2,2,2,3
4717,2,2,1,2,3
4727,8,4,7,2,5
4728,2,2,0,1,3
4736,5,2,4,1,1
4739,5,2,4,1,4
4745,5,3,3,1,4
4751,6,2,4,2,3
4756,6,3,4,2,3
4762,6,3,2,2,4
4769,4,2,1,1,4
4776,2,1,4,1,1
4789,5,2,5,2,2
4796,8,2,4,2,3
4800,3,2,3,1,3
4803,4,2,1,1,2
4815,6,2,0,2,1
4817,5,2,5,2,3
4831,7,2,5,2,2
4836,2,2,5,2,1
4839,5,3,6,2,2
4844,4,3,6,2,2
4846,2,2,5,1,2
4855,6,2,7,1,1
4856,5,1,5,2,3
4859,4,3,3,2,1
4861,5,3,5,1,1
4865,4,2,4,1,1
4871,3,3,4,2,4
4872,8,2,5,1,4
4873,5,2,3,1,3
4877,7,3,7,2,2
4881,5,2,7,1,1
4885,6,1,4,2,4
4900,6,2,7,1,4
4903,3,2,2,2,3
4909,5,3,4,2,3
4920,6,3,5,1,1
4925,8,2,7,2,4
4932,8,1,7,2,3
4937,8,2,5,1,1
4944,9,2,4,2,1
4950,8,2,4,1,5
4956,9,2,5,2,2
4962,9,2,4,2,3
4968,8,2,6,2,3
4975,8,3,4,2,3
4977,2,4,0,2,5
4988,8,3,5,2,1
4990,3,3,2,1,5
4998,2,3,2,1,5
5002,2,3,1,2,5
5008,5,3,2,2,3
5016,7,3,4,1,1
5021,5,3,3,2,4
5034,2,2,1,1,5
5105,8,4,8,1,1
5109,8,3,4,2,4
5136,5,3,3,2,1
5138,2,3,5,2,3
5142,8,3,5,2,3
5158,8,3,5,2,4
5166,9,3,6,1,2
5174,5,2,5,2,3
5176,8,3,5,2,5
5186,8,3,3,1,2
5193,8,3,2,2,4
5200,8,3,1,2,4
5207,5,2,2,2,3
5214,8,3,7,1,3
5221,9,2,2,1,1
5227,2,2,2,2,4
5235,8,1,3,2,4
5242,8,3,4,2,2
5250,9,3,4,1,1
5258,8,3,5,2,3
5267,8,3,8,2,2
5274,5,3,3,1,4
5280,4,2,3,1,2
5286,5,4,4,1,5
5292,7,2,4,1,1
5298,5,4,4,2,4
5302,5,3,5,2,4
5307,6,2,4,2,2
5327,7,2,0,2,3
5329,6,2,3,2,4
5330,5,2,3,2,1
5337,6,2,3,2,3
5344,7,2,2,2,5
5352,3,2,3,1,4
5353,5,1,1,2,3
5367,3,2,5,2,4
5370,5,3,5,1,5
5376,6,3,2,1,1
5388,6,3,5,2,4
5397,7,2,6,2,2
5408,7,2,6,2,2
5412,8,2,4,2,2
5417,4,3,5,2,2
5423,6,2,5,2,2
5426,8,3,5,2,3
5429,8,3,7,2,1
5436,5,3,5,2,1
5445,3,1,1,2,2
5457,7,2,5,2,5
5461,6,3,2,2,5
5466,5,3,3,2,5
5471,0,3,0,1,1
5475,9,2,6,1,5
5479,5,3,2,2,3
5484,5,3,5,2,4
5488,7,3,5,2,4
5492,5,3,2,2,5
5494,7,2,3,2,1
5499,8,3,5,2,3
5501,3,2,3,2,4
5510,7,3,4,2,5
5514,2,3,6,2,3
5521,7,3,4,2,5
5526,3,3,3,1,1
5533,5,2,5,2,2
5537,6,3,4,1,2
5542,5,2,5,2,3
5548,2,3,4,2,4
5551,7,3,7,2,2
5559,7,2,7,1,4
5572,3,3,3,2,5
5575,6,2,5,2,5
5579,7,3,7,2,5
5581,5,3,5,1,4
5583,6,2,7,2,4
5585,8,3,5,1,1
5592,5,2,3,2,5
5599,3,3,3,1,4
5602,5,2,5,1,4
5610,10,2,5,2,3
5611,5,3,1,2,2
5616,9,2,7,2,3
5619,8,2,4,2,3
5620,2,3,1,2,5
5626,3,2,1,2,4
5634,5,3,3,1,3
5636,9,2,5,1,4
5640,8,3,6,1,5
5642,8,3,5,2,3
5643,5,2,1,1,5
5647,10,3,9,1,5
5648,5,2,5,2,4
5674,7,2,3,1,3
5685,6,2,5,2,4
5688,9,1,5,1,4
5691,2,2,3,1,4
5695,8,2,7,1,1
5701,9,3,7,1,3
5708,6,2,4,1,4
5717,6,3,3,2,4
5721,9,3,6,2,4
5737,8,2,6,2,4
5742,8,3,4,2,4
5751,9,2,7,1,4
5759,8,3,7,2,4
